No.,ITEMS,BRAND,SIZE,Outlet,Town,Region,Price
71,TOILET SOAP,Refresh,3pk,S & S Persad,Rio Claro,South,NA
72,TOOTHPASTE,Colgate,170g,S & S Persad,Rio Claro,South,16
73,DISHWASHING LIQUID,Squeezy,725ml,S & S Persad,Rio Claro,South,14
74,SOAP POWDER,Breeze Multi Active,900g,S & S Persad,Rio Claro,South,25
75,SOAP POWDER,Radiante,875g,S & S Persad,Rio Claro,South,14
82,CORNED BEEF,Target,340g,S & S Persad,Rio Claro,South,15
84,INSTANT CHOCOLATE,Nesquik,500g,S & S Persad,Rio Claro,South,22
91,MAUBY,Matouk’s,750ml,S & S Persad,Rio Claro,South,13
95,ORANGE JUICE,Trinidad Citrus,19 oz,S & S Persad,Rio Claro,South,12
105,CORN FLAKES (Local),Sunshine,18 oz,S & S Persad,Rio Claro,South,26
15,COOKING MARGARINE,Golden Ray,227g,Persad D' Food King,Rio Claro,South,10.99
18,TABLE MARGARINE,Flora,445g,Persad D' Food King,Rio Claro,South,19.99
19,EGGS,Large,1 Doz,Persad D' Food King,Rio Claro,South,20.99
20,LIQUID MILK (Full Cream),Nestle,1L,Persad D' Food King,Rio Claro,South,12.99
23,POWDERED MILK,Dairy Dairy,225g,Persad D' Food King,Rio Claro,South,16.5
33,FLOUR,Ibis,2kg,Persad D' Food King,Rio Claro,South,12.99
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Persad D' Food King,Rio Claro,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Persad D' Food King,Rio Claro,South,23.49
71,TOILET SOAP,Refresh,3pk,Persad D' Food King,Rio Claro,South,15.99
72,TOOTHPASTE,Colgate,170g,Persad D' Food King,Rio Claro,South,16.99
73,DISHWASHING LIQUID,Squeezy,725ml,Persad D' Food King,Rio Claro,South,14.99
74,SOAP POWDER,Breeze Multi Active,900g,Persad D' Food King,Rio Claro,South,25.99
75,SOAP POWDER,Radiante,875g,Persad D' Food King,Rio Claro,South,13.49
82,CORNED BEEF,Target,340g,Persad D' Food King,Rio Claro,South,15.99
84,INSTANT CHOCOLATE,Nesquik,500g,Persad D' Food King,Rio Claro,South,23.99
91,MAUBY,Matouk’s,750ml,Persad D' Food King,Rio Claro,South,13.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Persad D' Food King,Rio Claro,South,11.99
105,CORN FLAKES (Local),Sunshine,18 oz,Persad D' Food King,Rio Claro,South,25.99
15,COOKING MARGARINE,Golden Ray,227g,S & S Persad,Mayaro,South,11
18,TABLE MARGARINE,Flora,445g,S & S Persad,Mayaro,South,18
19,EGGS,Large,1 Doz,S & S Persad,Mayaro,South,20
20,LIQUID MILK (Full Cream),Nestle,1L,S & S Persad,Mayaro,South,11.5
23,POWDERED MILK,Dairy Dairy,225g,S & S Persad,Mayaro,South,16.5
33,FLOUR,Ibis,2kg,S & S Persad,Mayaro,South,11.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,S & S Persad,Mayaro,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,S & S Persad,Mayaro,South,23
71,TOILET SOAP,Refresh,3pk,S & S Persad,Mayaro,South,14
72,TOOTHPASTE,Colgate,170g,S & S Persad,Mayaro,South,16
73,DISHWASHING LIQUID,Squeezy,725ml,S & S Persad,Mayaro,South,14
74,SOAP POWDER,Breeze Multi Active,900g,S & S Persad,Mayaro,South,25
75,SOAP POWDER,Radiante,875g,S & S Persad,Mayaro,South,14
82,CORNED BEEF,Target,340g,S & S Persad,Mayaro,South,15
84,INSTANT CHOCOLATE,Nesquik,500g,S & S Persad,Mayaro,South,22
91,MAUBY,Matouk’s,750ml,S & S Persad,Mayaro,South,13
95,ORANGE JUICE,Trinidad Citrus,19 oz,S & S Persad,Mayaro,South,12
105,CORN FLAKES (Local),Sunshine,18 oz,S & S Persad,Mayaro,South,26
15,COOKING MARGARINE,Golden Ray,227g,Persad D' Food King,Mayaro,South,10.99
18,TABLE MARGARINE,Flora,445g,Persad D' Food King,Mayaro,South,21.49
19,EGGS,Large,1 Doz,Persad D' Food King,Mayaro,South,NA
20,LIQUID MILK (Full Cream),Nestle,1L,Persad D' Food King,Mayaro,South,9.99
23,POWDERED MILK,Dairy Dairy,225g,Persad D' Food King,Mayaro,South,16.5
33,FLOUR,Ibis,2kg,Persad D' Food King,Mayaro,South,12.99
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Persad D' Food King,Mayaro,South,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Persad D' Food King,Mayaro,South,23.49
71,TOILET SOAP,Refresh,3pk,Persad D' Food King,Mayaro,South,15.99
72,TOOTHPASTE,Colgate,170g,Persad D' Food King,Mayaro,South,16.99
73,DISHWASHING LIQUID,Squeezy,725ml,Persad D' Food King,Mayaro,South,14.99
74,SOAP POWDER,Breeze Multi Active,900g,Persad D' Food King,Mayaro,South,25.99
75,SOAP POWDER,Radiante,875g,Persad D' Food King,Mayaro,South,13.49
82,CORNED BEEF,Target,340g,Persad D' Food King,Mayaro,South,15.99
84,INSTANT CHOCOLATE,Nesquik,500g,Persad D' Food King,Mayaro,South,23.99
91,MAUBY,Matouk’s,750ml,Persad D' Food King,Mayaro,South,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,Persad D' Food King,Mayaro,South,11.99
105,CORN FLAKES (Local),Sunshine,18 oz,Persad D' Food King,Mayaro,South,25.99
15,COOKING MARGARINE,Golden Ray,227g,Viewport,Tobago,Tobago,11.45
18,TABLE MARGARINE,Flora,445g,Viewport,Tobago,Tobago,NA
19,EGGS,Large,1 Doz,Viewport,Tobago,Tobago,24
20,LIQUID MILK (Full Cream),Nestle,1L,Viewport,Tobago,Tobago,13
23,POWDERED MILK,Dairy Dairy,225g,Viewport,Tobago,Tobago,NA
33,FLOUR,Ibis,2kg,Viewport,Tobago,Tobago,14.2
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Viewport,Tobago,Tobago,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Viewport,Tobago,Tobago,23.45
71,TOILET SOAP,Refresh,3pk,Viewport,Tobago,Tobago,14.1
72,TOOTHPASTE,Colgate,170g,Viewport,Tobago,Tobago,NA
73,DISHWASHING LIQUID,Squeezy,725ml,Viewport,Tobago,Tobago,13.65
74,SOAP POWDER,Breeze Multi Active,900g,Viewport,Tobago,Tobago,27.75
75,SOAP POWDER,Radiante,875g,Viewport,Tobago,Tobago,22.5
82,CORNED BEEF,Target,340g,Viewport,Tobago,Tobago,14.55
84,INSTANT CHOCOLATE,Nesquik,500g,Viewport,Tobago,Tobago,22.8
91,MAUBY,Matouk’s,750ml,Viewport,Tobago,Tobago,14.35
95,ORANGE JUICE,Trinidad Citrus,19 oz,Viewport,Tobago,Tobago,11.9
105,CORN FLAKES (Local),Sunshine,18 oz,Viewport,Tobago,Tobago,24.95
15,COOKING MARGARINE,Golden Ray,227g,Penny Savers,Tobago,Tobago,11
18,TABLE MARGARINE,Flora,445g,Penny Savers,Tobago,Tobago,20.95
19,EGGS,Large,1 Doz,Penny Savers,Tobago,Tobago,24
20,LIQUID MILK (Full Cream),Nestle,1L,Penny Savers,Tobago,Tobago,12.3
23,POWDERED MILK,Dairy Dairy,225g,Penny Savers,Tobago,Tobago,16.2
33,FLOUR,Ibis,2kg,Penny Savers,Tobago,Tobago,13.6
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Penny Savers,Tobago,Tobago,12.5
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Penny Savers,Tobago,Tobago,23.45
71,TOILET SOAP,Refresh,3pk,Penny Savers,Tobago,Tobago,12.95
72,TOOTHPASTE,Colgate,170g,Penny Savers,Tobago,Tobago,16.15
73,DISHWASHING LIQUID,Squeezy,725ml,Penny Savers,Tobago,Tobago,14.35
74,SOAP POWDER,Breeze Multi Active,900g,Penny Savers,Tobago,Tobago,23.9
75,SOAP POWDER,Radiante,875g,Penny Savers,Tobago,Tobago,13.95
82,CORNED BEEF,Target,340g,Penny Savers,Tobago,Tobago,15.3
84,INSTANT CHOCOLATE,Nesquik,500g,Penny Savers,Tobago,Tobago,22.3
91,MAUBY,Matouk’s,750ml,Penny Savers,Tobago,Tobago,13.2
95,ORANGE JUICE,Trinidad Citrus,19 oz,Penny Savers,Tobago,Tobago,10.75
105,CORN FLAKES (Local),Sunshine,18 oz,Penny Savers,Tobago,Tobago,23.9
15,COOKING MARGARINE,Golden Ray,227g,Coss Cutters,Tobago,Tobago,9.95
18,TABLE MARGARINE,Flora,445g,Coss Cutters,Tobago,Tobago,18.45
19,EGGS,Large,1 Doz,Coss Cutters,Tobago,Tobago,20
20,LIQUID MILK (Full Cream),Nestle,1L,Coss Cutters,Tobago,Tobago,13
23,POWDERED MILK,Dairy Dairy,225g,Coss Cutters,Tobago,Tobago,16.5
33,FLOUR,Ibis,2kg,Coss Cutters,Tobago,Tobago,13.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Coss Cutters,Tobago,Tobago,12.5
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Coss Cutters,Tobago,Tobago,23.5
71,TOILET SOAP,Refresh,3pk,Coss Cutters,Tobago,Tobago,13.75
72,TOOTHPASTE,Colgate,170g,Coss Cutters,Tobago,Tobago,15.5
73,DISHWASHING LIQUID,Squeezy,725ml,Coss Cutters,Tobago,Tobago,13.45
74,SOAP POWDER,Breeze Multi Active,900g,Coss Cutters,Tobago,Tobago,27
75,SOAP POWDER,Radiante,875g,Coss Cutters,Tobago,Tobago,15
82,CORNED BEEF,Target,340g,Coss Cutters,Tobago,Tobago,14.5
84,INSTANT CHOCOLATE,Nesquik,500g,Coss Cutters,Tobago,Tobago,23.5
91,MAUBY,Matouk’s,750ml,Coss Cutters,Tobago,Tobago,12.25
95,ORANGE JUICE,Trinidad Citrus,19 oz,Coss Cutters,Tobago,Tobago,13.5
105,CORN FLAKES (Local),Sunshine,18 oz,Coss Cutters,Tobago,Tobago,26
15,COOKING MARGARINE,Golden Ray,227g,Island Shoppers,Tobago,Tobago,11.5
18,TABLE MARGARINE,Flora,445g,Island Shoppers,Tobago,Tobago,NA
19,EGGS,Large,1 Doz,Island Shoppers,Tobago,Tobago,25
20,LIQUID MILK (Full Cream),Nestle,1L,Island Shoppers,Tobago,Tobago,13
23,POWDERED MILK,Dairy Dairy,225g,Island Shoppers,Tobago,Tobago,17
33,FLOUR,Ibis,2kg,Island Shoppers,Tobago,Tobago,14
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Island Shoppers,Tobago,Tobago,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Island Shoppers,Tobago,Tobago,23.5
71,TOILET SOAP,Refresh,3pk,Island Shoppers,Tobago,Tobago,15
72,TOOTHPASTE,Colgate,170g,Island Shoppers,Tobago,Tobago,18.5
73,DISHWASHING LIQUID,Squeezy,725ml,Island Shoppers,Tobago,Tobago,16
74,SOAP POWDER,Breeze Multi Active,900g,Island Shoppers,Tobago,Tobago,30
75,SOAP POWDER,Radiante,875g,Island Shoppers,Tobago,Tobago,NA
82,CORNED BEEF,Target,340g,Island Shoppers,Tobago,Tobago,NA
84,INSTANT CHOCOLATE,Nesquik,500g,Island Shoppers,Tobago,Tobago,23.5
91,MAUBY,Matouk’s,750ml,Island Shoppers,Tobago,Tobago,NA
95,ORANGE JUICE,Trinidad Citrus,19 oz,Island Shoppers,Tobago,Tobago,NA
105,CORN FLAKES (Local),Sunshine,18 oz,Island Shoppers,Tobago,Tobago,26
15,COOKING MARGARINE,Golden Ray,227g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,11.95
18,TABLE MARGARINE,Flora,445g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,21.95
19,EGGS,Large,1 Doz,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,20.95
20,LIQUID MILK (Full Cream),Nestle,1L,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,13.55
23,POWDERED MILK,Dairy Dairy,225g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,16.5
33,FLOUR,Ibis,2kg,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,20.99
71,TOILET SOAP,Refresh,3pk,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,14.95
72,TOOTHPASTE,Colgate,170g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,16.95
73,DISHWASHING LIQUID,Squeezy,725ml,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,14.95
74,SOAP POWDER,Breeze Multi Active,900g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,25.95
75,SOAP POWDER,Radiante,875g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,14.95
82,CORNED BEEF,Target,340g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,14.95
84,INSTANT CHOCOLATE,Nesquik,500g,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,23.75
91,MAUBY,Matouk’s,750ml,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,12.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,11.95
105,CORN FLAKES (Local),Sunshine,18 oz,Jesus Christ Makes the Difference Supermarket,Tobago,Tobago,25.99
15,COOKING MARGARINE,Golden Ray,227g,Caribbean Corner Stores,Tobago,Tobago,NA
18,TABLE MARGARINE,Flora,445g,Caribbean Corner Stores,Tobago,Tobago,25
19,EGGS,Large,1 Doz,Caribbean Corner Stores,Tobago,Tobago,25
20,LIQUID MILK (Full Cream),Nestle,1L,Caribbean Corner Stores,Tobago,Tobago,14.5
23,POWDERED MILK,Dairy Dairy,225g,Caribbean Corner Stores,Tobago,Tobago,18.5
33,FLOUR,Ibis,2kg,Caribbean Corner Stores,Tobago,Tobago,15
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Caribbean Corner Stores,Tobago,Tobago,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Caribbean Corner Stores,Tobago,Tobago,25
71,TOILET SOAP,Refresh,3pk,Caribbean Corner Stores,Tobago,Tobago,18
72,TOOTHPASTE,Colgate,170g,Caribbean Corner Stores,Tobago,Tobago,17.5
73,DISHWASHING LIQUID,Squeezy,725ml,Caribbean Corner Stores,Tobago,Tobago,16
74,SOAP POWDER,Breeze Multi Active,900g,Caribbean Corner Stores,Tobago,Tobago,32
75,SOAP POWDER,Radiante,875g,Caribbean Corner Stores,Tobago,Tobago,16
82,CORNED BEEF,Target,340g,Caribbean Corner Stores,Tobago,Tobago,16.75
84,INSTANT CHOCOLATE,Nesquik,500g,Caribbean Corner Stores,Tobago,Tobago,NA
91,MAUBY,Matouk’s,750ml,Caribbean Corner Stores,Tobago,Tobago,14.75
95,ORANGE JUICE,Trinidad Citrus,19 oz,Caribbean Corner Stores,Tobago,Tobago,14
105,CORN FLAKES (Local),Sunshine,18 oz,Caribbean Corner Stores,Tobago,Tobago,26
15,COOKING MARGARINE,Golden Ray,227g,Bayview,Tobago,Tobago,NA
18,TABLE MARGARINE,Flora,445g,Bayview,Tobago,Tobago,NA
19,EGGS,Large,1 Doz,Bayview,Tobago,Tobago,24
20,LIQUID MILK (Full Cream),Nestle,1L,Bayview,Tobago,Tobago,NA
23,POWDERED MILK,Dairy Dairy,225g,Bayview,Tobago,Tobago,NA
33,FLOUR,Ibis,2kg,Bayview,Tobago,Tobago,NA
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Bayview,Tobago,Tobago,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Bayview,Tobago,Tobago,NA
71,TOILET SOAP,Refresh,3pk,Bayview,Tobago,Tobago,NA
72,TOOTHPASTE,Colgate,170g,Bayview,Tobago,Tobago,18.75
73,DISHWASHING LIQUID,Squeezy,725ml,Bayview,Tobago,Tobago,NA
74,SOAP POWDER,Breeze Multi Active,900g,Bayview,Tobago,Tobago,NA
75,SOAP POWDER,Radiante,875g,Bayview,Tobago,Tobago,NA
82,CORNED BEEF,Target,340g,Bayview,Tobago,Tobago,NA
84,INSTANT CHOCOLATE,Nesquik,500g,Bayview,Tobago,Tobago,NA
91,MAUBY,Matouk’s,750ml,Bayview,Tobago,Tobago,NA
95,ORANGE JUICE,Trinidad Citrus,19 oz,Bayview,Tobago,Tobago,14.5
105,CORN FLAKES (Local),Sunshine,18 oz,Bayview,Tobago,Tobago,26
15,COOKING MARGARINE,Golden Ray,227g,Pablo,Tobago,Tobago,12.5
18,TABLE MARGARINE,Flora,445g,Pablo,Tobago,Tobago,NA
19,EGGS,Large,1 Doz,Pablo,Tobago,Tobago,NA
20,LIQUID MILK (Full Cream),Nestle,1L,Pablo,Tobago,Tobago,12.95
23,POWDERED MILK,Dairy Dairy,225g,Pablo,Tobago,Tobago,16.5
33,FLOUR,Ibis,2kg,Pablo,Tobago,Tobago,15.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Pablo,Tobago,Tobago,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Pablo,Tobago,Tobago,23.75
71,TOILET SOAP,Refresh,3pk,Pablo,Tobago,Tobago,17.5
72,TOOTHPASTE,Colgate,170g,Pablo,Tobago,Tobago,18.5
73,DISHWASHING LIQUID,Squeezy,725ml,Pablo,Tobago,Tobago,16.75
74,SOAP POWDER,Breeze Multi Active,900g,Pablo,Tobago,Tobago,29.25
75,SOAP POWDER,Radiante,875g,Pablo,Tobago,Tobago,15.75
82,CORNED BEEF,Target,340g,Pablo,Tobago,Tobago,17.5
84,INSTANT CHOCOLATE,Nesquik,500g,Pablo,Tobago,Tobago,24.75
91,MAUBY,Matouk’s,750ml,Pablo,Tobago,Tobago,16.95
95,ORANGE JUICE,Trinidad Citrus,19 oz,Pablo,Tobago,Tobago,14
105,CORN FLAKES (Local),Sunshine,18 oz,Pablo,Tobago,Tobago,27.5
15,COOKING MARGARINE,Golden Ray,227g,Tru Valu,Diego Martin,West,11
18,TABLE MARGARINE,Flora,445g,Tru Valu,Diego Martin,West,21
19,EGGS,Large,1 Doz,Tru Valu,Diego Martin,West,19
20,LIQUID MILK (Full Cream),Nestle,1L,Tru Valu,Diego Martin,West,13.5
23,POWDERED MILK,Dairy Dairy,225g,Tru Valu,Diego Martin,West,NA
33,FLOUR,Ibis,2kg,Tru Valu,Diego Martin,West,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Tru Valu,Diego Martin,West,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Tru Valu,Diego Martin,West,23
71,TOILET SOAP,Refresh,3pk,Tru Valu,Diego Martin,West,16.5
72,TOOTHPASTE,Colgate,170g,Tru Valu,Diego Martin,West,16.75
73,DISHWASHING LIQUID,Squeezy,725ml,Tru Valu,Diego Martin,West,16.5
74,SOAP POWDER,Breeze Multi Active,900g,Tru Valu,Diego Martin,West,25.5
75,SOAP POWDER,Radiante,875g,Tru Valu,Diego Martin,West,13.75
82,CORNED BEEF,Target,340g,Tru Valu,Diego Martin,West,16
84,INSTANT CHOCOLATE,Nesquik,500g,Tru Valu,Diego Martin,West,23.5
91,MAUBY,Matouk’s,750ml,Tru Valu,Diego Martin,West,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Tru Valu,Diego Martin,West,12
105,CORN FLAKES (Local),Sunshine,18 oz,Tru Valu,Diego Martin,West,25.99
15,COOKING MARGARINE,Golden Ray,227g,Massy Stores,Diego Martin,West,11.2
18,TABLE MARGARINE,Flora,445g,Massy Stores,Diego Martin,West,21.3
19,EGGS,Large,1 Doz,Massy Stores,Diego Martin,West,20.5
20,LIQUID MILK (Full Cream),Nestle,1L,Massy Stores,Diego Martin,West,13
23,POWDERED MILK,Dairy Dairy,225g,Massy Stores,Diego Martin,West,16.5
33,FLOUR,Ibis,2kg,Massy Stores,Diego Martin,West,13
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Massy Stores,Diego Martin,West,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Massy Stores,Diego Martin,West,23
71,TOILET SOAP,Refresh,3pk,Massy Stores,Diego Martin,West,14.95
72,TOOTHPASTE,Colgate,170g,Massy Stores,Diego Martin,West,18.95
73,DISHWASHING LIQUID,Squeezy,725ml,Massy Stores,Diego Martin,West,15.95
74,SOAP POWDER,Breeze Multi Active,900g,Massy Stores,Diego Martin,West,24.95
75,SOAP POWDER,Radiante,875g,Massy Stores,Diego Martin,West,13.5
82,CORNED BEEF,Target,340g,Massy Stores,Diego Martin,West,16.9
84,INSTANT CHOCOLATE,Nesquik,500g,Massy Stores,Diego Martin,West,24
91,MAUBY,Matouk’s,750ml,Massy Stores,Diego Martin,West,13.49
95,ORANGE JUICE,Trinidad Citrus,19 oz,Massy Stores,Diego Martin,West,12
105,CORN FLAKES (Local),Sunshine,18 oz,Massy Stores,Diego Martin,West,25.99
15,COOKING MARGARINE,Golden Ray,227g,Tru Valu Long Circular,St. James,West,11
18,TABLE MARGARINE,Flora,445g,Tru Valu Long Circular,St. James,West,21
19,EGGS,Large,1 Doz,Tru Valu Long Circular,St. James,West,21.65
20,LIQUID MILK (Full Cream),Nestle,1L,Tru Valu Long Circular,St. James,West,13.5
23,POWDERED MILK,Dairy Dairy,225g,Tru Valu Long Circular,St. James,West,NA
33,FLOUR,Ibis,2kg,Tru Valu Long Circular,St. James,West,12.95
41,BISCUITS (Unsweetened),Crix - Original,9 oz,Tru Valu Long Circular,St. James,West,13
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,Tru Valu Long Circular,St. James,West,NA
71,TOILET SOAP,Refresh,3pk,Tru Valu Long Circular,St. James,West,14.95
72,TOOTHPASTE,Colgate,170g,Tru Valu Long Circular,St. James,West,16.95
73,DISHWASHING LIQUID,Squeezy,725ml,Tru Valu Long Circular,St. James,West,16.5
74,SOAP POWDER,Breeze Multi Active,900g,Tru Valu Long Circular,St. James,West,25.5
75,SOAP POWDER,Radiante,875g,Tru Valu Long Circular,St. James,West,13.75
82,CORNED BEEF,Target,340g,Tru Valu Long Circular,St. James,West,16
84,INSTANT CHOCOLATE,Nesquik,500g,Tru Valu Long Circular,St. James,West,23.5
91,MAUBY,Matouk’s,750ml,Tru Valu Long Circular,St. James,West,13.5
95,ORANGE JUICE,Trinidad Citrus,19 oz,Tru Valu Long Circular,St. James,West,12
105,CORN FLAKES (Local),Sunshine,18 oz,Tru Valu Long Circular,St. James,West,25.99
15,COOKING MARGARINE,Golden Ray,227g,John's,St. James,West,10.95
18,TABLE MARGARINE,Flora,445g,John's,St. James,West,21.5
19,EGGS,Large,1 Doz,John's,St. James,West,21
20,LIQUID MILK (Full Cream),Nestle,1L,John's,St. James,West,12.75
23,POWDERED MILK,Dairy Dairy,225g,John's,St. James,West,16.5
33,FLOUR,Ibis,2kg,John's,St. James,West,12.5
41,BISCUITS (Unsweetened),Crix - Original,9 oz,John's,St. James,West,12.5
69,INFANT CEREAL,Nestle – Wheat & Honey,270g,John's,St. James,West,22.99
71,TOILET SOAP,Refresh,3pk,John's,St. James,West,15.75
72,TOOTHPASTE,Colgate,170g,John's,St. James,West,16.75
73,DISHWASHING LIQUID,Squeezy,725ml,John's,St. James,West,15.5
74,SOAP POWDER,Breeze Multi Active,900g,John's,St. James,West,24.95
75,SOAP POWDER,Radiante,875g,John's,St. James,West,13.75
82,CORNED BEEF,Target,340g,John's,St. James,West,14.95
84,INSTANT CHOCOLATE,Nesquik,500g,John's,St. James,West,22.95
91,MAUBY,Matouk’s,750ml,John's,St. James,West,12.75
95,ORANGE JUICE,Trinidad Citrus,19 oz,John's,St. James,West,11.5
105,CORN FLAKES (Local),Sunshine,18 oz,John's,St. James,West,24.99
