Runs,Inning,Notout,DNB,Opp,Ground,Start Date,Match
11,1,FALSE,FALSE,Pakistan,Karachi,9-Nov-90,ODI # 639
44,1,FALSE,FALSE,Pakistan,Lahore,6-Dec-90,Test # 1158
5,2,FALSE,FALSE,Pakistan,Lahore,6-Dec-90,Test # 1158
23,1,FALSE,FALSE,England,Lord's,27-May-91,ODI # 678
5,1,FALSE,FALSE,Pakistan,Sharjah,17-Oct-91,ODI # 679
45,1,FALSE,FALSE,India,Sharjah,19-Oct-91,ODI # 681
0,1,FALSE,FALSE,Pakistan,Sharjah,21-Oct-91,ODI # 682
54,1,FALSE,FALSE,Pakistan,Karachi,20-Nov-91,ODI # 689
18,1,FALSE,FALSE,Pakistan,Lahore,22-Nov-91,ODI # 690
45,1,FALSE,FALSE,Pakistan,Faisalabad,24-Nov-91,ODI # 691
11,1,FALSE,FALSE,Australia,Melbourne,12-Dec-91,ODI # 695
29,1,FALSE,FALSE,India,Adelaide,14-Dec-91,ODI # 696
19,1,FALSE,FALSE,Australia,Sydney,18-Dec-91,ODI # 698
14,1,FALSE,FALSE,India,Perth,6-Dec-91,ODI # 692
4,1,FALSE,FALSE,India,Brisbane,11-Jan-92,ODI # 702
69,1,FALSE,FALSE,Australia,Brisbane,12-Jan-92,ODI # 703
11,1,FALSE,FALSE,India,Melbourne,16-Jan-92,ODI # 707
22,1,FALSE,FALSE,Australia,Melbourne,9-Jan-92,ODI # 699
88,1,TRUE,FALSE,Pakistan,Melbourne,23-Feb-92,ODI # 717
0,1,FALSE,FALSE,England,Melbourne,27-Feb-92,ODI # 721
72,1,FALSE,FALSE,Zimbabwe,Brisbane,29-Feb-92,ODI # 724
41,1,FALSE,FALSE,India,Wellington,10-Mar-92,ODI # 737
1,1,FALSE,FALSE,Sri Lanka,Berri,13-Mar-92,ODI # 742
70,1,FALSE,FALSE,Australia,Melbourne,18-Mar-92,ODI # 749
9,1,FALSE,FALSE,South Africa,Christchurch,5-Mar-92,ODI # 730
52,1,FALSE,FALSE,New Zealand,Auckland,8-Mar-92,ODI # 734
86,1,TRUE,FALSE,South Africa,Port of Spain,11-Apr-92,ODI # 754
35,1,FALSE,FALSE,South Africa,Port of Spain,12-Apr-92,ODI # 755
17,1,FALSE,FALSE,South Africa,Bridgetown,18-Apr-92,Test # 1188
64,2,FALSE,FALSE,South Africa,Bridgetown,18-Apr-92,Test # 1188
50,1,FALSE,FALSE,South Africa,Kingston,7-Apr-92,ODI # 753
58,1,FALSE,FALSE,Australia,Brisbane,27-Nov-92,Test # 1202
0,2,FALSE,FALSE,Australia,Brisbane,27-Nov-92,Test # 1202
15,1,FALSE,FALSE,Pakistan,Adelaide,12-Dec-92,ODI # 775
74,1,FALSE,FALSE,Australia,Melbourne,15-Dec-92,ODI # 780
3,1,FALSE,FALSE,Pakistan,Sydney,17-Dec-92,ODI # 782
52,1,FALSE,FALSE,Australia,Melbourne,26-Dec-92,Test # 1205
4,2,FALSE,FALSE,Australia,Melbourne,26-Dec-92,Test # 1205
59,1,FALSE,FALSE,Pakistan,Perth,4-Dec-92,ODI # 767
29,1,FALSE,FALSE,Australia,Perth,6-Dec-92,ODI # 769
4,1,FALSE,FALSE,Australia,Sydney,8-Dec-92,ODI # 771
10,1,FALSE,FALSE,Australia,Brisbane,10-Jan-93,ODI # 789
67,1,FALSE,FALSE,Australia,Sydney,16-Jan-93,ODI # 792
60,1,FALSE,FALSE,Australia,Melbourne,18-Jan-93,ODI # 793
277,1,FALSE,FALSE,Australia,Sydney,2-Jan-93,Test # 1208
NA,2,NA,FALSE,Australia,Sydney,2-Jan-93,Test # 1208
52,1,FALSE,FALSE,Australia,Adelaide,23-Jan-93,Test # 1210
7,2,FALSE,FALSE,Australia,Adelaide,23-Jan-93,Test # 1210
16,1,FALSE,FALSE,Australia,Perth,30-Jan-93,Test # 1212
NA,2,NA,FALSE,Australia,Perth,30-Jan-93,Test # 1212
10,1,FALSE,FALSE,Pakistan,Brisbane,9-Jan-93,ODI # 788
13,1,FALSE,FALSE,South Africa,Port Elizabeth,11-Feb-93,ODI # 801
0,1,FALSE,FALSE,Pakistan,Johannesburg,13-Feb-93,ODI # 802
14,1,FALSE,FALSE,South Africa,Cape Town,17-Feb-93,ODI # 804
128,1,FALSE,FALSE,Pakistan,Durban,19-Feb-93,ODI # 805
111,1,TRUE,FALSE,South Africa,Bloemfontein,23-Feb-93,ODI # 807
26,1,TRUE,FALSE,Pakistan,Cape Town,25-Feb-93,ODI # 808
49,1,FALSE,FALSE,Pakistan,Johannesburg,27-Feb-93,ODI # 810
114,1,FALSE,FALSE,Pakistan,Kingston,23-Mar-93,ODI # 821
95,1,TRUE,FALSE,Pakistan,Port of Spain,26-Mar-93,ODI # 824
5,1,FALSE,FALSE,Pakistan,Port of Spain,27-Mar-93,ODI # 826
5,1,FALSE,FALSE,Pakistan,Kingstown,30-Mar-93,ODI # 828
6,1,FALSE,FALSE,Pakistan,Port of Spain,16-Apr-93,Test # 1220
96,2,FALSE,FALSE,Pakistan,Port of Spain,16-Apr-93,Test # 1220
51,1,FALSE,FALSE,Pakistan,Bridgetown,23-Apr-93,Test # 1221
NA,2,FALSE,TRUE,Pakistan,Bridgetown,23-Apr-93,Test # 1221
15,1,FALSE,FALSE,Pakistan,Georgetown,3-Apr-93,ODI # 829
44,1,FALSE,FALSE,Pakistan,St John's,1-May-93,Test # 1222
19,2,FALSE,FALSE,Pakistan,St John's,1-May-93,Test # 1222
5,1,FALSE,FALSE,Sri Lanka,Sharjah,28-Oct-93,ODI # 839
14,1,FALSE,FALSE,Pakistan,Sharjah,29-Oct-93,ODI # 840
14,1,FALSE,FALSE,Pakistan,Sharjah,1-Nov-93,ODI # 842
7,1,FALSE,FALSE,South Africa,Mumbai (BS),14-Nov-93,ODI # 849
23,1,FALSE,FALSE,India,Ahmedabad,16-Nov-93,ODI # 851
4,1,FALSE,FALSE,Zimbabwe,Hyderabad (Deccan),21-Nov-93,ODI # 854
82,1,FALSE,FALSE,Sri Lanka,Kolkata,25-Nov-93,ODI # 857
33,1,FALSE,FALSE,India,Kolkata,27-Nov-93,ODI # 858
42,1,FALSE,FALSE,Sri Lanka,Sharjah,3-Nov-93,ODI # 844
153,1,FALSE,FALSE,Pakistan,Sharjah,5-Nov-93,ODI # 845
67,1,FALSE,FALSE,Sri Lanka,Mumbai,9-Nov-93,ODI # 847
89,1,FALSE,FALSE,Sri Lanka,Colombo (PSS),1-Dec-93,ODI # 859
65,1,FALSE,FALSE,Sri Lanka,Colombo (RPS),16-Dec-93,ODI # 864
29,1,FALSE,FALSE,Sri Lanka,Colombo (SSC),18-Dec-93,ODI # 866
18,1,FALSE,FALSE,Sri Lanka,Moratuwa,8-Dec-93,Test # 1239
NA,2,NA,FALSE,Sri Lanka,Moratuwa,8-Dec-93,Test # 1239
9,1,FALSE,FALSE,England,Bridgetown,16-Feb-94,ODI # 880
83,1,FALSE,FALSE,England,Kingston,19-Feb-94,Test # 1250
28,2,FALSE,FALSE,England,Kingston,19-Feb-94,Test # 1250
8,1,FALSE,FALSE,England,Kingston,26-Feb-94,ODI # 887
167,1,FALSE,FALSE,England,Georgetown,17-Mar-94,Test # 1254
NA,2,NA,FALSE,England,Georgetown,17-Mar-94,Test # 1254
60,1,FALSE,FALSE,England,Kingstown,2-Mar-94,ODI # 888
43,1,FALSE,FALSE,England,Port of Spain,25-Mar-94,Test # 1257
12,2,FALSE,FALSE,England,Port of Spain,25-Mar-94,Test # 1257
19,1,FALSE,FALSE,England,Port of Spain,5-Mar-94,ODI # 890
16,1,FALSE,FALSE,England,Port of Spain,6-Mar-94,ODI # 892
375,1,FALSE,FALSE,England,St John's,16-Apr-94,Test # 1259
NA,2,FALSE,TRUE,England,St John's,16-Apr-94,Test # 1259
26,1,FALSE,FALSE,England,Bridgetown,8-Apr-94,Test # 1258
64,2,FALSE,FALSE,England,Bridgetown,8-Apr-94,Test # 1258
10,1,FALSE,FALSE,India,Faridabad,17-Oct-94,ODI # 931
6,1,FALSE,FALSE,India,Mumbai,20-Oct-94,ODI # 933
74,1,FALSE,FALSE,India,Chennai,23-Oct-94,ODI # 936
32,1,FALSE,FALSE,New Zealand,Margao,26-Oct-94,ODI # 938
69,1,FALSE,FALSE,New Zealand,Guwahati,1-Nov-94,ODI # 943
47,1,FALSE,FALSE,India,Jaipur,11-Nov-94,ODI # 951
14,1,FALSE,FALSE,India,Mumbai,18-Nov-94,Test # 1274
0,2,FALSE,FALSE,India,Mumbai,18-Nov-94,Test # 1274
1,1,FALSE,FALSE,India,Kolkata,5-Nov-94,ODI # 947
39,1,FALSE,FALSE,India,Visakhapatnam,7-Nov-94,ODI # 949
89,1,FALSE,FALSE,India,Cuttack,9-Nov-94,ODI # 950
50,1,FALSE,FALSE,India,Nagpur,1-Dec-94,Test # 1277
3,2,FALSE,FALSE,India,Nagpur,1-Dec-94,Test # 1277
40,1,FALSE,FALSE,India,Mohali,10-Dec-94,Test # 1278
91,2,FALSE,FALSE,India,Mohali,10-Dec-94,Test # 1278
55,1,TRUE,FALSE,New Zealand,Auckland,22-Jan-95,ODI # 972
72,1,FALSE,FALSE,New Zealand,Wellington,25-Jan-95,ODI # 973
34,1,TRUE,FALSE,New Zealand,Christchurch,28-Jan-95,ODI # 974
147,1,FALSE,FALSE,New Zealand,Wellington,10-Feb-95,Test # 1289
NA,2,NA,FALSE,New Zealand,Wellington,10-Feb-95,Test # 1289
2,1,FALSE,FALSE,New Zealand,Christchurch,3-Feb-95,Test # 1286
NA,2,NA,FALSE,New Zealand,Christchurch,3-Feb-95,Test # 1286
62,1,FALSE,FALSE,Australia,Port of Spain,11-Mar-95,ODI # 986
139,1,FALSE,FALSE,Australia,Port of Spain,12-Mar-95,ODI # 987
NA,1,FALSE,TRUE,Australia,Kingstown,15-Mar-95,ODI # 988
65,1,FALSE,FALSE,Australia,Bridgetown,31-Mar-95,Test # 1294
9,2,FALSE,FALSE,Australia,Bridgetown,31-Mar-95,Test # 1294
55,1,FALSE,FALSE,Australia,Bridgetown,8-Mar-95,ODI # 985
24,1,FALSE,FALSE,Australia,Port of Spain,21-Apr-95,Test # 1296
14,2,TRUE,FALSE,Australia,Port of Spain,21-Apr-95,Test # 1296
65,1,FALSE,FALSE,Australia,Kingston,29-Apr-95,Test # 1297
0,2,FALSE,FALSE,Australia,Kingston,29-Apr-95,Test # 1297
88,1,FALSE,FALSE,Australia,St John's,8-Apr-95,Test # 1295
43,2,FALSE,FALSE,Australia,St John's,8-Apr-95,Test # 1295
70,1,FALSE,FALSE,England,Nottingham,24-May-95,ODI # 1000
39,1,FALSE,FALSE,England,The Oval,26-May-95,ODI # 1001
11,1,FALSE,FALSE,England,Lord's,28-May-95,ODI # 1002
6,1,FALSE,FALSE,England,Lord's,22-Jun-95,Test # 1299
54,2,FALSE,FALSE,England,Lord's,22-Jun-95,Test # 1299
53,1,FALSE,FALSE,England,Leeds,8-Jun-95,Test # 1298
48,2,TRUE,FALSE,England,Leeds,8-Jun-95,Test # 1298
87,1,FALSE,FALSE,England,Manchester,27-Jul-95,Test # 1301
145,2,FALSE,FALSE,England,Manchester,27-Jul-95,Test # 1301
21,1,FALSE,FALSE,England,Birmingham,6-Jul-95,Test # 1300
NA,2,NA,FALSE,England,Birmingham,6-Jul-95,Test # 1300
152,1,FALSE,FALSE,England,Nottingham,10-Aug-95,Test # 1302
20,2,FALSE,FALSE,England,Nottingham,10-Aug-95,Test # 1302
179,1,FALSE,FALSE,England,The Oval,24-Aug-95,Test # 1303
NA,2,NA,FALSE,England,The Oval,24-Aug-95,Test # 1303
19,1,FALSE,FALSE,Sri Lanka,Sharjah,11-Oct-95,ODI # 1006
21,1,FALSE,FALSE,Pakistan,Sharjah,13-Oct-95,ODI # 1008
52,1,FALSE,FALSE,Pakistan,Sharjah,15-Oct-95,ODI # 1009
169,1,FALSE,FALSE,Sri Lanka,Sharjah,16-Oct-95,ODI # 1010
8,1,FALSE,FALSE,Sri Lanka,Sharjah,20-Oct-95,ODI # 1012
43,1,TRUE,FALSE,Zimbabwe,Hyderabad (Deccan),16-Feb-96,ODI # 1050
2,1,FALSE,FALSE,India,Gwalior,21-Feb-96,ODI # 1056
8,1,FALSE,FALSE,Kenya,Pune,29-Feb-96,ODI # 1066
111,1,FALSE,FALSE,South Africa,Karachi,11-Mar-96,ODI # 1079
45,1,FALSE,FALSE,Australia,Mohali,14-Mar-96,ODI # 1082
12,1,FALSE,FALSE,New Zealand,Kingston,26-Mar-96,ODI # 1084
11,1,FALSE,FALSE,New Zealand,Port of Spain,29-Mar-96,ODI # 1085
146,1,TRUE,FALSE,New Zealand,Port of Spain,30-Mar-96,ODI # 1086
60,1,FALSE,FALSE,Australia,Jaipur,4-Mar-96,ODI # 1072
71,1,FALSE,FALSE,Sri Lanka,Port of Spain,13-Apr-96,ODI # 1096
35,1,FALSE,FALSE,New Zealand,Bridgetown,19-Apr-96,Test # 1325
NA,2,FALSE,TRUE,New Zealand,Bridgetown,19-Apr-96,Test # 1325
40,1,FALSE,FALSE,New Zealand,St John's,27-Apr-96,Test # 1326
74,2,FALSE,FALSE,New Zealand,St John's,27-Apr-96,Test # 1326
17,1,FALSE,FALSE,New Zealand,Georgetown,3-Apr-96,ODI # 1090
104,1,FALSE,FALSE,New Zealand,Kingstown,6-Apr-96,ODI # 1092
26,1,FALSE,FALSE,Australia,Brisbane,22-Nov-96,Test # 1340
44,2,FALSE,FALSE,Australia,Brisbane,22-Nov-96,Test # 1340
2,1,FALSE,FALSE,Australia,Sydney,29-Nov-96,Test # 1343
1,2,FALSE,FALSE,Australia,Sydney,29-Nov-96,Test # 1343
31,1,TRUE,FALSE,Pakistan,Adelaide,17-Dec-96,ODI # 1154
2,1,FALSE,FALSE,Australia,Melbourne,26-Dec-96,Test # 1346
2,2,FALSE,FALSE,Australia,Melbourne,26-Dec-96,Test # 1346
5,1,FALSE,FALSE,Australia,Melbourne,6-Dec-96,ODI # 1147
26,1,FALSE,FALSE,Australia,Sydney,8-Dec-96,ODI # 1149
103,1,TRUE,FALSE,Pakistan,Perth,10-Jan-97,ODI # 1161
90,1,FALSE,FALSE,Australia,Perth,12-Jan-97,ODI # 1162
0,1,FALSE,FALSE,Pakistan,Sydney,18-Jan-97,ODI # 1165
19,1,FALSE,FALSE,Pakistan,Melbourne,20-Jan-97,ODI # 1166
9,1,FALSE,FALSE,Australia,Adelaide,25-Jan-97,Test # 1352
78,2,FALSE,FALSE,Australia,Adelaide,25-Jan-97,Test # 1352
48,1,FALSE,FALSE,Pakistan,Brisbane,3-Jan-97,ODI # 1157
102,1,FALSE,FALSE,Australia,Brisbane,5-Jan-97,ODI # 1159
132,1,FALSE,FALSE,Australia,Perth,1-Feb-97,Test # 1353
NA,2,FALSE,TRUE,Australia,Perth,1-Feb-97,Test # 1353
14,1,FALSE,FALSE,India,Port of Spain,14-Mar-97,Test # 1361
19,2,FALSE,FALSE,India,Port of Spain,14-Mar-97,Test # 1361
19,1,FALSE,FALSE,India,Bridgetown,27-Mar-97,Test # 1363
45,2,FALSE,FALSE,India,Bridgetown,27-Mar-97,Test # 1363
83,1,FALSE,FALSE,India,Kingston,6-Mar-97,Test # 1357
78,2,FALSE,FALSE,India,Kingston,6-Mar-97,Test # 1357
30,1,FALSE,FALSE,India,Georgetown,17-Apr-97,Test # 1365
NA,2,NA,FALSE,India,Georgetown,17-Apr-97,Test # 1365
25,1,TRUE,FALSE,India,Port of Spain,26-Apr-97,ODI # 1200
0,1,FALSE,FALSE,India,Port of Spain,27-Apr-97,ODI # 1201
33,1,FALSE,FALSE,India,Kingstown,30-Apr-97,ODI # 1202
103,1,FALSE,FALSE,India,St John's,4-Apr-97,Test # 1364
NA,2,NA,FALSE,India,St John's,4-Apr-97,Test # 1364
NA,1,FALSE,TRUE,India,Bridgetown,3-May-97,ODI # 1203
0,1,FALSE,FALSE,Sri Lanka,St John's,13-Jun-97,Test # 1369
4,2,FALSE,FALSE,Sri Lanka,St John's,13-Jun-97,Test # 1369
1,1,FALSE,FALSE,Sri Lanka,Kingstown,20-Jun-97,Test # 1371
115,2,FALSE,FALSE,Sri Lanka,Kingstown,20-Jun-97,Test # 1371
67,1,FALSE,FALSE,Sri Lanka,Port of Spain,6-Jun-97,ODI # 1215
80,1,FALSE,FALSE,Sri Lanka,Lahore,1-Nov-97,ODI # 1247
3,1,FALSE,FALSE,Pakistan,Peshawar,17-Nov-97,Test # 1384
37,2,FALSE,FALSE,Pakistan,Peshawar,17-Nov-97,Test # 1384
15,1,FALSE,FALSE,Pakistan,Rawalpindi,29-Nov-97,Test # 1389
1,2,FALSE,FALSE,Pakistan,Rawalpindi,29-Nov-97,Test # 1389
68,1,FALSE,FALSE,South Africa,Lahore,3-Nov-97,ODI # 1249
7,1,FALSE,FALSE,Pakistan,Lahore,4-Nov-97,ODI # 1250
88,1,FALSE,FALSE,Pakistan,Sharjah,12-Dec-97,ODI # 1260
0,1,FALSE,FALSE,England,Sharjah,13-Dec-97,ODI # 1261
23,1,FALSE,FALSE,India,Sharjah,16-Dec-97,ODI # 1264
2,1,FALSE,FALSE,England,Sharjah,19-Dec-97,ODI # 1266
36,1,FALSE,FALSE,Pakistan,Karachi,6-Dec-97,Test # 1391
37,2,FALSE,FALSE,Pakistan,Karachi,6-Dec-97,Test # 1391
NA,1,FALSE,TRUE,England,Kingston,29-Jan-98,Test # 1396
NA,2,NA,FALSE,England,Kingston,29-Jan-98,Test # 1396
42,1,FALSE,FALSE,England,Port of Spain,13-Feb-98,Test # 1399
47,2,FALSE,FALSE,England,Port of Spain,13-Feb-98,Test # 1399
93,1,FALSE,FALSE,England,Georgetown,27-Feb-98,Test # 1404
30,2,FALSE,FALSE,England,Georgetown,27-Feb-98,Test # 1404
55,1,FALSE,FALSE,England,Port of Spain,5-Feb-98,Test # 1398
17,2,FALSE,FALSE,England,Port of Spain,5-Feb-98,Test # 1398
31,1,FALSE,FALSE,England,Bridgetown,12-Mar-98,Test # 1407
13,2,TRUE,FALSE,England,Bridgetown,12-Mar-98,Test # 1407
89,1,FALSE,FALSE,England,St John's,20-Mar-98,Test # 1411
NA,2,NA,FALSE,England,St John's,20-Mar-98,Test # 1411
110,1,FALSE,FALSE,England,Bridgetown,29-Mar-98,ODI # 1299
24,1,FALSE,FALSE,England,Bridgetown,1-Apr-98,ODI # 1301
21,1,FALSE,FALSE,England,Kingstown,4-Apr-98,ODI # 1304
51,1,FALSE,FALSE,England,Kingstown,5-Apr-98,ODI # 1307
93,1,FALSE,FALSE,England,Port of Spain,8-Apr-98,ODI # 1310
16,1,FALSE,FALSE,Pakistan,Dhaka,29-Oct-98,ODI # 1361
60,1,TRUE,FALSE,India,Dhaka,31-Oct-98,ODI # 1363
11,1,FALSE,FALSE,South Africa,Dhaka,1-Nov-98,ODI # 1364
11,1,FALSE,FALSE,South Africa,Johannesburg,26-Nov-98,Test # 1429
7,2,FALSE,FALSE,South Africa,Johannesburg,26-Nov-98,Test # 1429
4,1,FALSE,FALSE,South Africa,Port Elizabeth,10-Dec-98,Test # 1433
39,2,FALSE,FALSE,South Africa,Port Elizabeth,10-Dec-98,Test # 1433
51,1,FALSE,FALSE,South Africa,Durban,26-Dec-98,Test # 1437
79,2,FALSE,FALSE,South Africa,Durban,26-Dec-98,Test # 1437
68,1,FALSE,FALSE,South Africa,Centurion,15-Jan-99,Test # 1441
14,2,FALSE,FALSE,South Africa,Centurion,15-Jan-99,Test # 1441
4,1,FALSE,FALSE,South Africa,Cape Town,2-Jan-99,Test # 1440
33,2,FALSE,FALSE,South Africa,Cape Town,2-Jan-99,Test # 1440
0,1,FALSE,FALSE,South Africa,Johannesburg,22-Jan-99,ODI # 1390
3,1,FALSE,FALSE,South Africa,East London,24-Jan-99,ODI # 1393
32,1,FALSE,FALSE,South Africa,Durban,27-Jan-99,ODI # 1395
9,1,FALSE,FALSE,South Africa,Centurion,7-Feb-99,ODI # 1404
213,1,FALSE,FALSE,Australia,Kingston,13-Mar-99,Test # 1451
NA,2,FALSE,TRUE,Australia,Kingston,13-Mar-99,Test # 1451
8,1,FALSE,FALSE,Australia,Bridgetown,26-Mar-99,Test # 1453
153,2,TRUE,FALSE,Australia,Bridgetown,26-Mar-99,Test # 1453
62,1,FALSE,FALSE,Australia,Port of Spain,5-Mar-99,Test # 1448
3,2,FALSE,FALSE,Australia,Port of Spain,5-Mar-99,Test # 1448
16,1,FALSE,FALSE,Australia,Kingstown,11-Apr-99,ODI # 1433
9,1,FALSE,FALSE,Australia,St George's,14-Apr-99,ODI # 1436
18,1,TRUE,FALSE,Australia,Port of Spain,17-Apr-99,ODI # 1438
6,1,FALSE,FALSE,Australia,Port of Spain,18-Apr-99,ODI # 1439
100,1,FALSE,FALSE,Australia,St John's,3-Apr-99,Test # 1454
7,2,FALSE,FALSE,Australia,St John's,3-Apr-99,Test # 1454
11,1,FALSE,FALSE,Pakistan,Bristol,16-May-99,ODI # 1447
25,1,FALSE,FALSE,Bangladesh,Dublin,21-May-99,ODI # 1454
36,1,FALSE,FALSE,New Zealand,Southampton,24-May-99,ODI # 1460
25,1,TRUE,FALSE,Scotland,Leicester,27-May-99,ODI # 1465
9,1,FALSE,FALSE,Australia,Manchester,30-May-99,ODI # 1470
2,1,FALSE,FALSE,India,Toronto,11-Sep-99,ODI # 1497
34,1,FALSE,FALSE,India,Toronto,12-Sep-99,ODI # 1498
26,1,FALSE,FALSE,India,Toronto,14-Sep-99,ODI # 1499
20,1,FALSE,FALSE,Pakistan,Toronto,16-Sep-99,ODI # 1500
26,1,FALSE,FALSE,Pakistan,Toronto,18-Sep-99,ODI # 1501
12,1,FALSE,FALSE,Pakistan,Toronto,19-Sep-99,ODI # 1502
48,1,FALSE,FALSE,Zimbabwe,Singapore,2-Sep-99,ODI # 1492
60,1,FALSE,FALSE,India,Singapore,5-Sep-99,ODI # 1494
NA,1,FALSE,TRUE,India,Singapore,7-Sep-99,ODI # 1495
18,1,FALSE,FALSE,India,Singapore,8-Sep-99,ODI # 1496
